name,affiliation,location
Alberto Acerbi,University of Trento,Italy
Alessandro Vespignani,Northeastern University,USA
Alessia Melegaro,Bocconi University,Italy
Andrea De Angelis,University of Milan,Italy
Aron Szekely,Collegio Carlo Alberto Turin,Italy
Bruno Lepri,Fondazione Bruno Kessler,Italy
Ciro Cattuto,ISI Foundation,Italy
Diego Giuliani,University of Trento,Italy
Eva Vriens,CNR Rome,Italy
Fabiana Zollo,Univerisity Ca' Foscari Venice,Italy
Federico Bianchi,University of Milan,Italy
Flaminio Squazzoni,University of Milan,Italy
Floriana Gargiulo,CNRS Paris,France
Francesca Colaiori,CNR,Italy
Francesca Giardini,University of Groningen,Netherlands
Francesco Renzini,University of Milan,Italy
Francisco Grimaldo,University of Valencia,Spain
Giangiacomo Bravo,Linnaeus University of Vaxjo,Sweden
Gianluca Manzo,Sorbonne University Paris,France
Giovanni Pagano,University of Milan,Italy
Giulia Andrighetto,CNR-Rome,Italy
Giuseppe A Veltri,University of Trento,Italy
Ivano Bison,University of Trento,Italy
Krzysztof Krakowski,Kingâ€™s College London,United Kingdom
Luigi Curini,University of Milan,Italy
Marco Cremonini,University of Milan,Italy
Mario Paolucci,CNR-Rome,Italy
Maurizio Napolitano,Fondazione Bruno Kessler,Italy
Michele Tizzoni,University of Trento,Italy
Pierpaolo Dondio,Technological University Dublin,Ireland
Raffaele Vacca,University of Milan,Italy
Riccardo Boero,Norwegian Institute for Air Research,Norway
Riccardo Gallotti,Fondazione Bruno Kessler,Italy
Roberto Gabriele,University of Trento,Italy
Sara Tonelli,Fondazione Bruno Kessler,Italy
Stefano Balietti,University of Mannheim,Germany
Valerio Capraro,University of Milan-Bicocca,Italy
Vittorio Nespeca,University of Amsterdam,Netherlands
Walter Quattrociocchi,University of Roma Sapienza,Italy
